label	key	technique	category	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	filename	SCIPRJ	access_level	biosample	NGS_file	MLONG
MOLNG-1571.12.neg.bw	F-g-2.neg	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775976	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.12.neg.bw	[SCI-002413] Germline development in Nematostella		SAMN16376585	s_3_1_ACTTGA.fastq.gz	
MOLNG-1571.14.neg.bw	F-g-3.neg	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	gonad		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775974	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.14.neg.bw	[SCI-002413] Germline development in Nematostella		SAMN16376587	s_3_1_AGTTCC.fastq.gz	
### end																					
																					
# Muscle Male+Female																					
## greens: female +																					
MOLNG-1571.28.pos.bw	F-mus-1.pos	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	muscle		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775959	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.28.pos.bw	[SCI-002413] Germline development in Nematostella		SAMN16376601	s_3_1_TTAGGC.fastq.gz	
MOLNG-1571.21.pos.bw	F-mus-2.pos	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	muscle		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775966	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.21.pos.bw	[SCI-002413] Germline development in Nematostella		SAMN16376594	s_3_1_GATCAG.fastq.gz	
MOLNG-1571.16.pos.bw	F-mus-3.pos	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	muscle		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775972	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.16.pos.bw	[SCI-002413] Germline development in Nematostella		SAMN16376589	s_3_1_ATGTCA.fastq.gz	
## greens: female -																					
MOLNG-1571.28.neg.bw	F-mus-1.neg	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	muscle		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775959	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.28.neg.bw	[SCI-002413] Germline development in Nematostella		SAMN16376601	s_3_1_TTAGGC.fastq.gz	
MOLNG-1571.21.neg.bw	F-mus-2.neg	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	muscle		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775966	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.21.neg.bw	[SCI-002413] Germline development in Nematostella		SAMN16376594	s_3_1_GATCAG.fastq.gz	
MOLNG-1571.16.neg.bw	F-mus-3.neg	RNASeq	Gene Expression	SIMR	Gibson Lab CYC	Compare RNA expression among three tissues	adult female	muscle		poly-A Stranded RNASeq, adult sexed samples, several tissues. Condition: Muscle; Gonad; Mesentery Filament. Developmental-Stage: Adult Male; Adult Female	PRJNA667495	PRJNA667495,MOLNG-1571	SRR12775972	2016-02-17	CWS	GCA_033964005.1/bulk_align/MOLNG-1571.16.neg.bw	[SCI-002413] Germline development in Nematostella		SAMN16376589	s_3_1_ATGTCA.fastq.gz	
## oranges: male + 																					
